"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2187","Registration with correct email, username and password","LMS system","Sat Dec 27 17:02:39 UTC 2025","passed","Sat Dec 27 17:02:41 UTC 2025","Registration","Authentication","",""
"","2782","User login with correct email and password","LMS system","Sat Dec 27 17:02:25 UTC 2025","passed","Sat Dec 27 17:02:28 UTC 2025","Authorization","Authentication","",""
"","2367","Create course","LMS system","Sat Dec 27 17:02:40 UTC 2025","passed","Sat Dec 27 17:02:42 UTC 2025","Courses","Courses","",""
"","1545","User login with wrong email or password","LMS system","Sat Dec 27 17:02:31 UTC 2025","passed","Sat Dec 27 17:02:32 UTC 2025","Authorization","Authentication","",""
"","1936","Navigation from login page to registration page","LMS system","Sat Dec 27 17:02:24 UTC 2025","passed","Sat Dec 27 17:02:26 UTC 2025","Authorization","Authentication","",""
"","2124","User login with wrong email or password","LMS system","Sat Dec 27 17:02:30 UTC 2025","passed","Sat Dec 27 17:02:32 UTC 2025","Authorization","Authentication","",""
"","1831","Check displaying of dashboard page","LMS system","Sat Dec 27 17:02:56 UTC 2025","passed","Sat Dec 27 17:02:58 UTC 2025","Dashboard","Dashboard","",""
"","1488","User login with wrong email or password","LMS system","Sat Dec 27 17:02:27 UTC 2025","passed","Sat Dec 27 17:02:29 UTC 2025","Authorization","Authentication","",""
"","3266","Create course","LMS system","Sat Dec 27 17:02:45 UTC 2025","passed","Sat Dec 27 17:02:49 UTC 2025","Courses","Courses","",""
"","2791","Check displaying of dashboard page","LMS system","Sat Dec 27 17:02:57 UTC 2025","passed","Sat Dec 27 17:02:59 UTC 2025","Dashboard","Dashboard","",""
"","1395","Check displaying of empty courses list","LMS system","Sat Dec 27 17:02:43 UTC 2025","passed","Sat Dec 27 17:02:44 UTC 2025","Courses","Courses","",""
"","1664","Registration with correct email, username and password","LMS system","Sat Dec 27 17:02:37 UTC 2025","passed","Sat Dec 27 17:02:38 UTC 2025","Registration","Authentication","",""
"","2029","User login with wrong email or password","LMS system","Sat Dec 27 17:02:34 UTC 2025","passed","Sat Dec 27 17:02:37 UTC 2025","Authorization","Authentication","",""
"","2113","Check displaying of empty courses list","LMS system","Sat Dec 27 17:02:52 UTC 2025","passed","Sat Dec 27 17:02:54 UTC 2025","Courses","Courses","",""
"","1392","User login with wrong email or password","LMS system","Sat Dec 27 17:02:29 UTC 2025","passed","Sat Dec 27 17:02:30 UTC 2025","Authorization","Authentication","",""
"","4450","Edit course","LMS system","Sat Dec 27 17:02:50 UTC 2025","passed","Sat Dec 27 17:02:55 UTC 2025","Courses","Courses","",""
"","3501","Edit course","LMS system","Sat Dec 27 17:02:44 UTC 2025","passed","Sat Dec 27 17:02:48 UTC 2025","Courses","Courses","",""
"","2241","User login with wrong email or password","LMS system","Sat Dec 27 17:02:34 UTC 2025","passed","Sat Dec 27 17:02:36 UTC 2025","Authorization","Authentication","",""
"","2935","User login with correct email and password","LMS system","Sat Dec 27 17:02:21 UTC 2025","passed","Sat Dec 27 17:02:24 UTC 2025","Authorization","Authentication","",""
"","1560","Navigation from login page to registration page","LMS system","Sat Dec 27 17:02:21 UTC 2025","passed","Sat Dec 27 17:02:22 UTC 2025","Authorization","Authentication","",""
