"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4138","Check displaying of empty courses list","tests.courses","2025-12-19","passed","2025-12-19","TestCourses","test_courses","",""
"","3836","User login with wrong email or password","tests.authentication","2025-12-19","passed","2025-12-19","TestAuthorization","test_authorization","",""
"","3475","Check displaying of dashboard page","tests.dashboard","2025-12-19","passed","2025-12-19","TestDashboard","test_dashboard","",""
"","4231","Registration with correct email, username and password","tests.authentication","2025-12-19","passed","2025-12-19","TestRegistration","test_registration","",""
"","11035","User login with correct email and password","tests.authentication","2025-12-19","passed","2025-12-19","TestAuthorization","test_authorization","",""
"","3926","User login with wrong email or password","tests.authentication","2025-12-19","passed","2025-12-19","TestAuthorization","test_authorization","",""
"","3511","User login with wrong email or password","tests.authentication","2025-12-19","passed","2025-12-19","TestAuthorization","test_authorization","",""
"","5665","Navigation from login page to registration page","tests.authentication","2025-12-19","passed","2025-12-19","TestAuthorization","test_authorization","",""
"","6072","Create course","tests.courses","2025-12-19","passed","2025-12-19","TestCourses","test_courses","",""
"","6252","Edit course","tests.courses","2025-12-19","passed","2025-12-19","TestCourses","test_courses","",""
